A	B	C	D	E	F	G
						
	Name of Metre	Scan	akṣara	mātrā	tāla/laya	mātrāgaṇa lakṣaṇa
1	harivilasitam 63	_1111112	7	8	2	4(da)
2	citram 62	_2111112	7	9	3	3(ta)
3	lalitagatiḥ 80	_11112112	8	10	4	2(ca)2
4	vimalā 66	_1121212	7	10	4;5	2(ca)2
5	kumāralalitā 54	_1211122	7	10	4	2(ca)2
6	śāradī 64	_2111212	7	10	4;5	2(ca)2
7	kumudvatī 68	_1111222	7	10	2	5(da)
8	vidhuvaktrā 60	_2111122	7	10	2	5(da)
9	kalikā 59	_2112112	7	10	2	5(da)
10	laghumaṇiguṇanikaraḥ 104	_111111112	9	10	2	5(da)
11	ratimālā 86	_11111122	8	10	2	5(da)
12	madhukarikā 65	_2211112	7	10	2;5	5(da)
13	manojnā 70	_1112122	7	10	5	pata2
14	mahī 85	_11211212	8	11	4	2(ca)12
15	nilayā 115	_1111111112	10	11	2_1	3(da1)2
16	upacyutam 95	_111111212	9	11	3	3(ta)2
17	sumālatī 76	_11121212	8	11	3	3(ta)2
18	muditā 69	_1221122	7	11	3	3(ta)2
19	subhadrā 67	_1212122	7	11	3	3(ta)2
20	uddhatā 56	_2121122	7	11	3	3(ta)2
21	guṇalayanī 84	_11111222	8	11	-	
22	dīptā 71	_1122122	7	11	-	
23	bhramaramālā 57	_2211122	7	11	-	
24	akṣi 96	_112121112	9	12	13;23	3(1ta)
25	hamsamālā 58	_2122122	7	12	23	2(data)2
26	udayam 92	_211121112	9	12	23	2(data)2
27	uṣṇik 53	_2121222	7	12	5;24	2(pa)2
28	udayam	_211121112	9	12	4	3(ca)
29	pramāṇī 82	_12121212	8	12	12	4(1da)
30	samānikā 83	_21212121	8	12	21	4(da1)
31	halamukhī 90	_212111112	9	12	3;23	4(ta)
32	sāvitrī	_222222	6	12	2	6(da)
33	madalekhā	_2221122	7	12	2	6(da)
34	saralam 61	_2222112	7	12	2	6(da)
35	citrapadā 75	_21121122	8	12	2	6(da)
36	bhujagaśiśusṛtā 91	_111111222	9	12	2;5	6(da)
37	saumyā 99	_112112112	9	12	2;5	6(da)
38	śaśilekhā 103	_111121122	9	12	2	6(da)
39	tvaritagatiḥ 112	_1111211112	10	12	2;12	6(da)
40	madalekhā 55	_2221122	7	12	2	6(da)
41	māṇavakam 77	_2112,2112	8	12	2;3	6(da)
42	bṛhatikā 89	_1 12	9	13	122	2(1dada)12
43	hrīḥ 192	_111111111112	12	13	122	2(1dada)12
44	nārācam 78	_22121212	8	13	5	2(pa)12
45	anuṣṭup 73	_21212212	8	13	32	2(tada)12
46	bhadrikā 94	_212111212	9	13	32;	2(tada)12
47	haṃsarutam 79	_22211122	8	13		
48	utsukam 93	_211211212	9	13		
49	siṃhalekhā 81	_21212122	8	13	0	
50	aśokā 152	_11111211122	11	14	4;221;11122	2(111dada)
51	ketumatī_pū	_1121211122	10	14	4;221;1132	2(11tada)
52	uṣitā 116	_1211211212	10	14	4;1312	2(1ta1da)
53	tāram	_112112222	9	14	5	2(pa)da2
54	vaitālīyam_pū	_1121121212	10	14	4;24	3(ca)2
55	vibhā 72	_22121222	8	14	4;23;52	3(ca)2
56	rucirā 100	_221211122	9	14	4;221;232	3(ca)2
57	subhadrikā 11-14	_11111121212	11	14	21;4	4(da1)2
58	kāminī 106	_212121212	9	14	21	4(da1)2
59	manoramā 119	_1112121212	10	14	21	4(da1)2
60	gāandharvī 52	_2222222	7	14	2	7(da)
61	kanakam 97	_222112112	9	14	2;43	7(da)
62	tāram 98	_112112222	9	14	2	7(da)
63	siṃhākrāntā 105	_222211112	9	14	2	7(da)
64	meghavitānam	_1121121122	10	14	2;41	7(da)
65	sumukhī 145	_11112112112	11	14	2;1213	7(da)
66	vṛttā	_11111111222	11	14	2;23;1222	7(da)
67	citragatiḥ 114	_2112112112	10	14	2;313	7(da)
68	tvaritamatiḥ 219	_1111111111112	13	14	2;21;1121;111112	7(da)
69	kumudinī 123	_2221111112	10	14	2;223	7(da)
70	mukhacapalā 149	_22111111112	11	14	2;221;2212	7(da)
71	makaralatā 102	_221111222	9	14	2;23;52	7(da)
72	vipulabhujā 125	_1111211222	10	14	2;124	7(da)
73	kamaladalākṣī 150	_11112211112	11	14	2;3	7(da)
74	mṛgacapalā 122	_2112211112	10	14	2;3	7(da)
75	upacitram_pū	_11211211212	11	15	13	3(1ta)12
76	upāsthitā 120	_2211211212	10	15	4;5;6	3(ca)12
77	maṇirāgaḥ 117	_2121121122	10	15	5	3(pa)
78	ujjvalā 166	_111111211212	12	15	3;13;32	4(ta)12
79	ketumatī_u	_2112121122	10	15	_	
80	bandhūkam 118	_2111112222	10	15	_	
81	sāraṇī 153	_11212112212	11	16	25;143	2(1cata)
82	pramuditavadanā 181	_111111212212	12	16	12212	2(1dada1da)
83	prabhā 182	_1111112,12212	12	16	12212	2(1dada1da)
84	rathoddhatā 141	_21211121212	11	16	7;21212	2(da1da1da)
85	candravartma 161	_212111211112	12	16	24;7;21212	2(da1da1da)
86	priyamvadā 174	_111211121212	12	16	7;21212	2(da1da1da)
87	panktikā 108	_2121221212	10	16	21212	2(da1da1da)
88	mālatī 180	_111121121212	12	16	7;2132	2(da1tada)
89	kalahaṃsā 160	_111211121122	12	16	24;7;2132	2(da1tada)
90	svāgatā 142	_21211121122	11	16	24;7;2132	2(da1tada)
91	śuddhavirāḍ 109	_2221121212	10	16	7;242	2(dacada)
92	vaitālīyam_u	_11221121212	11	16	7;242	2(dacada)
93	drutavilambitam 163	_111211211212	12	16	25	2(dapa)2
94	navamāninī 179	_11112121,1122	12	16	42;25	2(dapa)2
95	acyutam 128	_21211211212	11	16	25	2(dapa)2
96	mayūrasāriṇī 111	_2121212122	10	16	24;332	2(tatada)
97	jaloddhatagatiḥ 169	_121112,121112	12	16	13	4(1ta)
98	pramitākṣarā 176	_112121112112	12	16	13;25	4(1ta)
99	aupacchandasikam_pū	_2211212122	10	16	4;24	4(ca)
100	utthāpanī 148	_22121112112	11	16	4;25	4(ca)
101	vidyunmālā	_2222,2222	8	16	2	8(da)
102	vaktram 88	_21122,2222	9	16	2	8(da)
103	paṇava 110	_22211,11222	10	16	2;25	8(da)
104	rukmavatī 113	_2112221122	10	16	2	8(da)
105	mattā 107	_2222,111122	10	16	2	8(da)
106	moṭanakam 147	_22112112112	11	16	2	8(da)
107	bhramaravilasitam 138	_2222,1111112	11	16	2	8(da)
108	strī	_21122,111122	11	16	2	8(da)
109	lalanā 186	_21122,1111112	12	16	2	8(da)
110	toṭakam 162	_112112112112	12	16	2	8(da)
111	kusumavicitrā 168	_111122111122	12	16	2	8(da)
112	tāmarasam 183	_111121121122	12	16	2;7	8(da)
113	kamalākṣī 218	_1111111121122	13	16	2	8(da)
114	madalalitā 211	_1111211111122	13	16	2;25	8(da)
115	praharaṇakalikā 14-3	_1111112,1111112	14	16	2	8(da)
116	śasikalā 243	_111111111111112	15	16	2;25	8(da)
117	maṇigaṇakiraṇaḥ 245	_11111111,1111112	15	16	2;25	8(da)
118	vimalā 151	_11222211112	11	16	2	8(da)
119	patitā 140	_11112221122	11	16	2	8(da)
120	uddhatam 124	_2221121122	10	16	2;7	8(da)
121	srag 244	_111111,111111112	15	16	2;25	8(da)
122	dodhakam 130	_21121121122	11	16	2;7	8(da)
123	upacaitram 234	_11111111111122	14	16	2;25	8(da)
124	lalanā 186 (śovn as kāmadattā)	_21122,1111112	12	16	2	8(da)
125	mauktikamālā	_21122111122	11	16	2	8(da)
126	layaḥ 208	_1111121211212	13	17	23;124	3(data)2
127	caladhṛtiḥ 268	_1111111111111112	16	17	21;23;124	3(data)2
128	upasthitā 133	_22112112122	11	17	5;6	3(pa)2
129	upasthitam 134	_12111222122	11	17	5;6	3(pa)2
130	kumudinī	_21212211122	11	17	5;51	3(pa)2
131	tatam 165	_111111222212	12	17	5;24	3(pa)2
132	puṭaḥ 164	_111111222122	12	17	5;6	3(pa)2
133	gaurī 213	_1111112211122	13	17	5;51	3(pa)2
134	vaitikā	_21212121212	11	17	21	5(da1)2
135	kolaḥ 193	_121112112122	12	17	3;5	5(da1)2
136	upendravajrā 155	_12122112122	11	17	3	5(ta)2
137	śyenī 144	_21212121212	11	17	3	5(ta)2
138	mauktikadāma 172	_121121121122	12	17	-	
139	rocakam 127	_21121121222	11	17	-	
140	kalikā 121	_2122221122	10	17	-	
141	kekiravam 191	_112122112122	12	18	223;112122	2(11da1dada)
142	kuṭajam 212	_1121211121122	13	18	4;25;13122	2(1ta1dada)
143	manjubhāṣiṇī 206	_1121211121212	13	18	4;5;1332	2(1tatada)
144	lalitā 175	_221211121212	12	18	4;5;432	2(catada)
145	candrikā 205	_1111112121222	13	18	4;24;2124	2(da1daca)
146	indravajrā 154	_22122112122	11	18	223;22122	2(dada1dada)
147	candrikā	_1111112212122	13	18	26	2(daSha)2
148	ekarūpam 146	_22211212122	11	18	43;26	2(daSha)2
149	aupacchandasikam_u	_22211212122	11	18	43;26	2(daSha)2
150	induvadanā 14-6	_21112111211112	14	18	4;32;25;31122	2(ta11dada)
151	kṣamā 200	_1111112212212	13	18	122;26	3(1dada)12
152	meghāvalī 188	_111212212212	12	18	122;26	3(1dada)12
153	kumudinī 185	_212122111122	12	18	24;26	3(daca)
154	vibhāvarī 184	_121212121212	12	18	12	6(1da)
155	rucirā 198	_1212111121212	13	18	12;4	6(1da)
156	vamśastha 159	_121221121212	12	18	3;4	6(ta)
157	dhṛtiḥ 235	_11112121112112	14	18	3;223	6(ta)
158	aparājitā 14-2	_11111121211212	14	18	3;4	6(ta)
